Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
China,1990,All ages,Both,All causes,"Deaths per 100,000",755.275269053,741.468493112,769.539809174
China,1991,All ages,Both,All causes,"Deaths per 100,000",749.257844255,735.734628049,763.087464854
China,1992,All ages,Both,All causes,"Deaths per 100,000",748.57995127,734.9371087449999,762.760825897
China,1993,All ages,Both,All causes,"Deaths per 100,000",746.951525397,733.152277146,760.839551417
China,1994,All ages,Both,All causes,"Deaths per 100,000",743.446640011,730.194097128,756.721506073
China,1995,All ages,Both,All causes,"Deaths per 100,000",735.1232523,722.0773763459999,748.134406105
China,1996,All ages,Both,All causes,"Deaths per 100,000",725.8461132880001,713.534573498,738.716295155
China,1997,All ages,Both,All causes,"Deaths per 100,000",721.998703773,710.106566749,734.314359423
China,1998,All ages,Both,All causes,"Deaths per 100,000",719.770242315,707.728831809,731.489724841
China,1999,All ages,Both,All causes,"Deaths per 100,000",718.371426691,706.500063233,729.594892405
China,2000,All ages,Both,All causes,"Deaths per 100,000",721.119875574,709.010683099,732.279193874
China,2001,All ages,Both,All causes,"Deaths per 100,000",729.94914465,718.095339706,741.308597399
China,2002,All ages,Both,All causes,"Deaths per 100,000",740.364533845,728.6478695989999,751.765813313
China,2003,All ages,Both,All causes,"Deaths per 100,000",720.520123139,709.395445992,731.693131058
China,2004,All ages,Both,All causes,"Deaths per 100,000",711.203598934,699.619526536,722.032908453
China,2005,All ages,Both,All causes,"Deaths per 100,000",708.8607515140001,697.596899344,719.275164475
China,2006,All ages,Both,All causes,"Deaths per 100,000",694.1781405199999,683.06403562,704.3250326269999
China,2007,All ages,Both,All causes,"Deaths per 100,000",687.09781179,676.1322142089999,697.577585622
China,2008,All ages,Both,All causes,"Deaths per 100,000",693.399692661,680.762134336,707.1377013929999
China,2009,All ages,Both,All causes,"Deaths per 100,000",689.1653991119999,677.43181875,700.620024894
China,2010,All ages,Both,All causes,"Deaths per 100,000",693.44648953,681.784794111,705.418420101
China,2011,All ages,Both,All causes,"Deaths per 100,000",686.895581154,675.12327707,698.7162737149999
China,2012,All ages,Both,All causes,"Deaths per 100,000",686.231779653,673.992215837,698.313790318
China,2013,All ages,Both,All causes,"Deaths per 100,000",690.013983069,677.2951602840001,702.467991328
